"S_No","LSOA Code","Postcode","Short Postcode","Town/City","District","County"
6453,NA,"TN11 9BS","TN11","TONBRIDGE","TONBRIDGE AND MALLING","KENT"
6454,NA,"TN27 9HL","TN27","ASHFORD","MAIDSTONE","KENT"
6455,NA,"TN15 7AN","TN15","SEVENOAKS","TONBRIDGE AND MALLING","KENT"
6456,NA,"CT13 0LQ","CT13","SANDWICH","DOVER","KENT"
6457,NA,"CT14 8EU","CT14","DEAL","DOVER","KENT"
6458,NA,"CT14 8EU","CT14","DEAL","DOVER","KENT"
6459,NA,"CT15 6AG","CT15","DOVER","DOVER","KENT"
6460,NA,"TN12 9HY","TN12","TONBRIDGE","MAIDSTONE","KENT"
6461,NA,"TN12 7AH","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6462,NA,"ME1 3YP","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6463,NA,"ME1 3GL","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6464,NA,"ME1 3GL","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6465,NA,"TN12 7AH","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6466,NA,"GU22 9LP","GU22","WOKING","WOKING","SURREY"
6467,NA,"KT23 4BJ","KT23","LEATHERHEAD","MOLE VALLEY","SURREY"
6468,NA,"KT15 3AX","KT15","ADDLESTONE","RUNNYMEDE","SURREY"
6469,NA,"KT22 0RD","KT22","LEATHERHEAD","ELMBRIDGE","SURREY"
6470,NA,"TN11 0BA","TN11","TONBRIDGE","TONBRIDGE AND MALLING","KENT"
6471,NA,"TN14 6BX","TN14","SEVENOAKS","SEVENOAKS","KENT"
